,x,y,z
0,0.0,0.0,0.0
1,0.48539871263844653,0.14006611898042282,-0.25601745802288245
2,0.057465018411380964,-0.721398204050534,-1.2788206658965133
3,0.3586243969536038,-0.9448314985401715,-0.5110965061653628
4,0.9031158407747794,0.11181895759506666,-1.4217407435932006
5,0.45845126064363617,0.49118065212822365,-0.9725334703072519
6,-0.2440898429123073,0.46710446916601106,-1.2088384871331928
7,-0.14119728258481776,-0.47692509922081566,-1.8036954310873525
8,-0.31344260818026237,-1.033819960916336,-2.1410630451666512
9,-1.4668291888660263,-1.3674790019496164,-2.06432751291722
10,-1.5039714167935658,-0.8576555868365943,-2.82597499070099
11,-1.8850301516197365,0.12833833404621864,-3.543989005794355
12,-3.7862311994910347,-0.4148941059739323,-4.590418858747544
13,-4.158853863183805,-0.49342834498903115,-5.103789450272243
14,-3.966811485158024,-0.7328206806002034,-5.643863854020726
15,-3.874093609394302,-1.0937249299246083,-5.587946637473515
16,-4.821456333159633,-1.1701422270737472,-4.514804983128943
17,-5.368015430301233,-0.22357430849499949,-4.955764859752504
18,-4.798078437986806,0.3087915534599084,-3.337759725548265
19,-3.198891150415835,-0.7876644176999255,-3.0484130095963557
20,-1.8452620978240175,-1.4236781781311647,-4.538826380119674
21,-2.5772997457913633,-1.4994740769485018,-4.801825600000765
22,-1.8715036941230638,-1.8623158017752528,-4.436489482278631
23,-1.3009975405884155,-1.7820694595253441,-3.214824002041624
24,-0.2809593065002367,-2.4577364639205315,-3.4707531927125785
25,-0.7740805153432473,-1.5501680283419286,-3.1487142216917787
26,-1.6278941673145293,-2.3473746524570935,-3.6556563822239263
27,-2.271834980508842,-1.1650821831099303,-3.4607011350223935
28,-2.5294261130119815,-1.1489420695478598,-3.0447700101469284
29,-3.5583170981948,-0.47698391855187505,-2.2390838480813686
30,-3.374945766837899,-0.6553040062348915,-2.448984710782176
31,-3.5357366302723374,-0.37256835441258024,-2.8151265799491108
32,-2.0713646504409438,0.2815719859520644,-2.480292675442105
33,-2.186864835451431,1.4374356393565673,-2.5397310204692616
34,-2.6120788473779157,0.4920242985918808,-2.967016928858449
35,-3.29754327062591,0.6136187384263291,-3.6419498649390256
36,-3.4722779541069615,1.1262210258530554,-4.722894970712469
37,-3.2069391776694123,-0.06186401920286366,-4.1830537138943535
38,-3.0559074047352226,-1.0518423200036269,-3.7974023838934827
39,-2.9581940463483165,-1.4583157736825068,-3.0151740273633476
40,-2.896036444257536,-1.4885270913017266,-2.7521836546193006
41,-2.958014747439528,-1.2801798961798325,-2.4275891988788345
42,-2.6691471535172724,-1.6703890998122048,-1.8414496310619954
43,-1.9552628136656582,-1.591171117629037,-1.2968959111073584
44,-2.6795997684258284,-1.4471828966841853,-1.928497083088637
45,-2.6915265249948037,0.09742765381999319,-2.121147302741869
46,-2.9036083662754586,0.8413951958039243,-2.067887032343188
47,-3.1659971926010657,1.5519388510557226,-2.7970890624031384
48,-4.124220189608602,1.2474283080124664,-3.6217936992613122
49,-3.8709093108958124,2.1352290742414164,-3.6978884045720526
